Name,BW Total Weight Moved (Part 1) (lbs),BW Total weight Moved (Part 2) (lbs),BW Distance Moved (Part 1) (feet),BW Distance Moved (Part 2) (feet),Weight Distance Moved (feet),"BW Work Done Per Rep
(ft-lbs)",,,,,,,,
Push Jerk,femur+pelvis+torso+neck+humerus+forearm+hand,,((pelvis / 12) * 2),,(humerus+forearm)/12+(pelvis/12),(weight_moved_1*((pelvis / 12) * 2) +bw_dist_moved_2*weight_moved_2),,,,,,,,
Pushup,weight-foot-forearm-hand,,humerus/12,,,(weight_moved_1*humerus/12 + bw_dist_moved_2*weight_moved_2),,,,,,,,
Ring Dip,weight-foot-forearm-hand,,humerus/12,,humerus/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Rope Climb,weight,,0,,0,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Row (Very rough estimate),weight,,,,,weight_moved_1/175 * 45,,,,,,,,
Run (Very rough estimate),weight,,,,,weight_moved_1*360/1609.344,,,,,,,,
Situp,neck+torso+pelvis,,((neck+torso)/12)/2,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Squat,femur+pelvis+torso+neck+humerus+forearm+hand,,(femur)/12,,(femur)/12,(weight_moved_1*((neck+torso)/12)/2 + bw_dist_moved_2*weight_moved_2),,,,,,,,
Squat Clean,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,0.5*tibia/12,((neck+torso)/12)/2,(acromion_height-((plate_diameter)/2))/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Squat Clean & Jerk,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,0.5*tibia/12+((neck+torso)/12)/2,((pelvis / 12) * 2),(overhead_height-((plate_diameter)/2))/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Squat Snatch,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,0.5*tibia/12,((neck+torso)/12)/2,(overhead_height-((plate_diameter)/2))/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Sumo Deadlift High Pull,femur+pelvis+torso+neck+humerus+forearm+hand,Anthropometry!D13+Anthropometry!D14+Anthropometry!D15,0.5*tibia/12,((humerus+forearm+hand)/2)/12,(acromion_height-((plate_diameter)/2))/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Thruster,femur+pelvis+torso+neck+humerus+forearm+hand,humerus+forearm+hand,((neck+torso)/12)/2,((humerus+forearm)/2)/12,(femur)/12+(humerus+forearm)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Wall Ball,femur+pelvis+torso+neck+humerus+forearm+hand,humerus+forearm+hand,((neck+torso)/12)/2,((humerus+forearm)/2)/12,0,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Walking Lunge,weight-(tibia/2)-foot,,(tibia+ankle)/12,,(tibia+ankle)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
