date,price
09-Feb-2014 22:02:35,535
09-Feb-2014 22:03:05,377
09-Feb-2014 22:03:35,379
09-Feb-2014 22:04:35,181
09-Feb-2014 22:06:05,182
09-Feb-2014 22:06:35,180
09-Feb-2014 22:07:05,329
09-Feb-2014 22:07:35,170
09-Feb-2014 22:09:05,168
09-Feb-2014 22:09:35,169
09-Feb-2014 22:10:05,180
09-Feb-2014 22:10:35,172
09-Feb-2014 22:11:05,170
09-Feb-2014 22:12:05,169
09-Feb-2014 22:12:35,112
09-Feb-2014 22:13:35,111
09-Feb-2014 22:15:35,110
09-Feb-2014 22:16:35,109
09-Feb-2014 22:20:35,110
09-Feb-2014 22:21:35,109
09-Feb-2014 22:24:05,108
09-Feb-2014 22:26:05,109
09-Feb-2014 22:27:05,108
09-Feb-2014 22:33:05,107
09-Feb-2014 22:33:35,108
09-Feb-2014 22:34:05,107
09-Feb-2014 22:34:35,108
09-Feb-2014 22:37:04,345
09-Feb-2014 22:37:34,344
09-Feb-2014 22:38:04,338
09-Feb-2014 22:38:34,334
09-Feb-2014 22:39:04,333
09-Feb-2014 22:40:34,332
09-Feb-2014 22:42:04,330
09-Feb-2014 22:44:34,329
09-Feb-2014 22:46:04,328
09-Feb-2014 22:49:04,327
09-Feb-2014 22:51:34,326
09-Feb-2014 22:54:34,325
09-Feb-2014 22:57:04,324
09-Feb-2014 22:58:04,107
09-Feb-2014 23:02:04,108
09-Feb-2014 23:02:34,107
09-Feb-2014 23:04:04,108
09-Feb-2014 23:05:04,107
09-Feb-2014 23:05:34,108
09-Feb-2014 23:09:05,107
09-Feb-2014 23:17:05,108
09-Feb-2014 23:17:35,107
09-Feb-2014 23:18:35,99
09-Feb-2014 23:19:05,107
09-Feb-2014 23:21:05,108
09-Feb-2014 23:21:35,107
09-Feb-2014 23:22:05,108
09-Feb-2014 23:24:05,107
09-Feb-2014 23:26:05,108
09-Feb-2014 23:32:05,343
09-Feb-2014 23:32:35,341
09-Feb-2014 23:33:05,335
09-Feb-2014 23:33:35,334
09-Feb-2014 23:34:05,333
09-Feb-2014 23:34:35,332
09-Feb-2014 23:35:05,333
09-Feb-2014 23:35:35,332
09-Feb-2014 23:36:35,331
09-Feb-2014 23:37:05,330
09-Feb-2014 23:39:05,329
09-Feb-2014 23:39:35,328
09-Feb-2014 23:40:05,329
09-Feb-2014 23:42:05,328
09-Feb-2014 23:44:35,763
09-Feb-2014 23:45:05,508
09-Feb-2014 23:45:35,506
09-Feb-2014 23:46:05,852
09-Feb-2014 23:46:35,849
09-Feb-2014 23:47:05,846
09-Feb-2014 23:48:05,842
09-Feb-2014 23:49:05,840
09-Feb-2014 23:49:35,839
09-Feb-2014 23:50:05,837
09-Feb-2014 23:50:35,836
09-Feb-2014 23:51:05,835
09-Feb-2014 23:52:05,625
09-Feb-2014 23:53:05,624
09-Feb-2014 23:54:05,622
09-Feb-2014 23:55:35,621
09-Feb-2014 23:56:05,620
09-Feb-2014 23:56:35,618
09-Feb-2014 23:57:05,619
09-Feb-2014 23:57:35,617
09-Feb-2014 23:58:06,619
09-Feb-2014 23:58:35,618
10-Feb-2014 00:00:05,616
10-Feb-2014 00:00:36,467
10-Feb-2014 00:01:05,470
10-Feb-2014 00:01:35,472
10-Feb-2014 00:02:05,473
10-Feb-2014 00:02:43,107
10-Feb-2014 00:04:35,108
10-Feb-2014 00:09:06,109
10-Feb-2014 00:09:36,108
10-Feb-2014 00:10:06,107
10-Feb-2014 00:11:06,108
10-Feb-2014 00:11:36,107
10-Feb-2014 00:26:36,344
10-Feb-2014 00:27:06,341
10-Feb-2014 00:27:36,336
10-Feb-2014 00:28:06,335
10-Feb-2014 00:28:36,334
